,0
554,scalable internet software
555,object-oriented and functional design patterns
556,Highspot’s Infrastructure Platform crew
557,other feature crews
558,DevOps
559,frameworks
560,Highspot
561,highly-scalable and reliable infrastructure
562,other engineering crews
563,highly-availability distributed services
564,observability
565,shared frameworks
566,caches
567,indexes
568,frameworks
569,-
570,Highspot’s feature engineering crews
571,as well as with DevOps/Site-Reliability
572,Proficiency
573,containerization
574,Kubernetes
575,scalable internet software
576,object-oriented and functional design patterns
577,Clojure
578,Angular
579,Vue
580,.. APIs
581,emerging frameworks
582,architectural patterns
583,Node
584,Typescript
585,industry leading cloud providers
586,AWS
587,Azure
588,GCP
589,modern ecosystems
590,automated build and deployment pipelines
591,Collaborative build practices
592,a collaborative product engineering team
593,a velocity multiplier
594,the refinement
595,the entire software stack
596,API
597,the norms
598,other software development capabilities
599,agile techniques
600,oversight
601,the project roadmap
602,emerging technologies
603,frameworks
604,proven validation techniques
605,scripts
606,routines
607,production environments
608,Angular
609,Vue
610,.. APIs
611,emerging frameworks
612,architectural patterns
613,Node
614,Typescript
615,industry leading cloud providers
616,AWS
617,Azure
618,GCP
619,modern ecosystems
620,automated build and deployment pipelines
621,Collaborative build practices
622,a collaborative product engineering team
623,the refinement
624,other talented software engineers
625,architects
626,the entire software stack
627,API
628,the norms
629,emerging technologies
630,frameworks
631,other software development capabilities
632,agile techniques
633,proven validation techniques
634,scripts
635,routines
636,production environments
637,Angular
638,Vue
639,.. APIs
640,emerging frameworks
641,architectural patterns
642,Node
643,Typescript
644,industry leading cloud providers
645,AWS
646,Azure
647,GCP
648,modern ecosystems
649,automated build and deployment pipelines
650,Collaborative build practices
651,a collaborative product engineering team
652,a velocity multiplier
653,the refinement
654,the entire software stack
655,API
656,the norms
657,other software development capabilities
658,agile techniques
659,oversight
660,the project roadmap
661,emerging technologies
662,frameworks
663,proven validation techniques
664,scripts
665,routines
666,production environments
667,UI
668,robust code
669,a biotechnology
670,Python
671,automated analysis
672,annotation
673,advanced display and data manipulation
674,strong Python coding skills
675,a great back catalogue
676,homebrew projects
677,documentation
678,your sleeves
679,Degree qualification
680,Python
681,Ideally some exposure
682,genomic file formats
683,product enhancements
684,Workplace Search
685,Elasticsearch
686,Kibana
687,mentor
688,international teammates
689,"a mostly text-based, asynchronous, remote-first team environment"
690,yearly conferences
691,constructive feedback
692,the team’s overall technical strategy
693,a product roadmap
694,technical deliverables
695,an important and communicative part
696,an engaged and spirited team
697,all support and escalations tickets
698,workarounds
699,promptly follow-up
700,DevOPS
701,"a high-pressure, fast-paced, fast growth environment"
702,knowledge base entries
703,the Support Portal
704,SLA
705,a timely manner
706,Strong TCP/IP knowledge
707,Proxies
708,NG Firewalls
709,SSL/IPSec
710,VPN
711,SSO
712,Familiarity
713,Demonstrable experience
714,configuration
715,UNIX/Linux
716,prior Active Directory/LDAP experience
717,various scenarios
718,tcpdump
719,protocols
720,(TCP/IP
721,DNS
722,DHCP
723,Familiarity
724,Strong empathy
725,Interpersonal Skills
726,Zendesk
727,other support portal tools
728,Bachelors or Masters degree
729,all support and escalations tickets
730,workarounds
731,promptly follow-up
732,DevOPS
733,"a high-pressure, fast-paced, fast growth environment"
734,knowledge base entries
735,the Support Portal
736,SLA
737,a timely manner
738,Strong TCP/IP knowledge
739,Proxies
740,NG Firewalls
741,SSL/IPSec
742,VPN
743,SSO
744,Familiarity
745,Demonstrable experience
746,configuration
747,UNIX/Linux
748,prior Active Directory/LDAP experience
749,various scenarios
750,tcpdump
751,protocols
752,(TCP/IP
753,DNS
754,DHCP
755,Familiarity
756,Strong empathy
757,Interpersonal Skills
758,Zendesk
759,other support portal tools
760,Bachelors or Masters degree
761,billions
762,Excellent grasp
763,Python
764,advanced SQL
765,MLOps processes
766,tooling
767,their mathematical concepts
768,sklearn
769,SparkML
770,pandas
771,NumPy
772,similar packages
773,deep learning packages
774,Tensorflow
775,PyTorch
776,Keras
777,Spark
778,Elasticsearch
779,Kubernetes
780,Familiarity
781,AWS
782,automation technologies
783,"e.g., Kubernetes"
784,Jenkins
785,GNN
786,RL
787,Recommender Systems
788,NLP techniques
789,embeddings
790,attention mechanisms
791,Familiarity
792,the information/cyber security domain
793,the underlying mathematical models
794,exploratory data analysis
795,algorithms
796,synthetic data sets
797,efficacy
798,Analyzes
799,debugs
800,software enhancements
801,"local, networked, or Internet-related computer programs"
802,debugging
803,documentation
804,necessary modifications
805,reviews product/project deliverables
806,the life cycle methodologies
807,"i.e., impact assessments"
808,external & internal specifications
809,manuals
810,QA test plans
811,scripts
812,the ACI Code
813,troubleshooting
814,Bachelor’s degree
815,SDLC
816,Agile
817,the following development languages / frameworks / tools
818,Micro-services architecture
819,containers
820,orchestration tools
821,e.g. Azure
822,docker
823,Kubernetes
824,OpenShift
825,K8 cluster
826,micro-services deployment
827,other frameworks/tools
828,Nginx/Ingres
829,(e.g. Istio
830,sensitive data encryption
831,e.g. HashiCorp/HSM integration
832,the following code versioning
833,i.e. Git
834,TortoiseGit / Sourcetree
835,BitBucket
836,JIRA
837,i.e. Junit
838,Mockito
839,JBoss
840,WebSphere
841,Tomcat
842,PostgreSQL
843,Oracle
844,MSSQL
845,Linux
846,shell scripting
847,JAXB
848,XML
849,XSD
850,SQL
851,DDL
852,DML
853,JDBC
854,liquibase
855,JMS
856,our preferred technology stack
857,(Primarily Elixir/Phoenix
858,LiveView
859,Ruby
860,Rails
861,modern JavaScript
862,amazing GraphQL
863,RESTful APIs
864,our backend service teams
865,a collaborative agile/scrum environment
866,strong competencies
867,algorithms
868,software craftsmanship
869,Ruby
870,Rails
871,Sinatra
872,Django
873,Node
874,Git
875,GitHub
876,relational databases
877,PostgreSQL
878,MySQL
879,Exq
880,Sidekiq
881,Celery
882,Beanstalk
883,RabbitMQ
884,Kafka
885,ExUnit
886,RSpec
887,Jest
888,pytest
889,profiling tools
890,familiarity
891,caching strategies
892,third party APIs
893,Elixir
894,GraphQL APIs
895,Absinthe
896,GraphQL
897,subscriptions
898,GCP
899,Kubernetes
900,startups
901,esports
902,our preferred technology stack
903,(Primarily Elixir/Phoenix
904,LiveView
905,Ruby
906,Rails
907,amazing GraphQL
908,RESTful APIs
909,our backend service teams
910,Willingness
911,a collaborative agile/scrum environment
912,strong competencies
913,algorithms
914,software craftsmanship
915,Ruby
916,Rails
917,Sinatra
918,Django
919,Node
920,Git
921,GitHub
922,relational databases
923,PostgreSQL
924,MySql
925,Exq
926,Sidekiq
927,Celery
928,Beanstalk
929,Kafka
930,RabbitMQ
931,ExUnit
932,RSpec
933,Jest
934,pytest
935,profiling tools
936,familiarity
937,caching strategies
938,third party APIs
939,Elixir
940,GraphQL APIs
941,Absinthe
942,GraphQL
943,subscriptions
944,GCP
945,Kubernetes
946,startups
947,esports
948,our preferred technology stack
949,(Primarily Elixir/Phoenix/LiveView
950,Ruby
951,Rails
952,modern JavaScript
953,amazing GraphQL
954,RESTful APIs
955,our backend service teams
956,a collaborative agile/scrum environment
957,strong competencies
958,algorithms
959,software craftsmanship
960,Ruby
961,Rails
962,Sinatra
963,Django
964,Node
965,Git
966,GitHub
967,relational databases
968,PostgreSQL
969,MySQL
970,Exq
971,Sidekiq
972,Celery
973,Beanstalk
974,RabbitMQ
975,Kafka
976,ExUnit
977,RSpec
978,Jest
979,pytest
980,profiling tools
981,familiarity
982,caching strategies
983,third party APIs
984,Elixir
985,GraphQL APIs
986,Absinthe
987,GraphQL
988,subscriptions
989,GCP
990,Kubernetes
991,startups
992,esports
993,our preferred technology stack
994,(Primarily Elixir/Phoenix
995,LiveView
996,Ruby
997,Rails
998,amazing GraphQL
999,RESTful APIs
1000,our backend service teams
1001,Willingness
1002,a collaborative agile/scrum environment
1003,strong competencies
1004,algorithms
1005,software craftsmanship
1006,Ruby
1007,Rails
1008,Sinatra
1009,Django
1010,Node
1011,Git
1012,GitHub
1013,relational databases
1014,PostgreSQL
1015,MySql
1016,Exq
1017,Sidekiq
1018,Celery
1019,Beanstalk
1020,Kafka
1021,RabbitMQ
1022,ExUnit
1023,RSpec
1024,Jest
1025,pytest
1026,profiling tools
1027,familiarity
1028,caching strategies
1029,third party APIs
1030,Elixir
1031,GraphQL APIs
1032,Absinthe
1033,GraphQL
1034,subscriptions
1035,GCP
1036,Kubernetes
1037,startups
1038,esports
1039,new analytics products
1040,our existing Java
1041,Deployment
1042,configuration
1043,backend systems
1044,RESTful webservices
1045,SQL
1046,relational databases
1047,e.g. Postgres
1048,MySQL
1049,"e.g. ClickHouse, Druid"
1050,InfluxDB
1051,Prometheus
1052,a cohesive team
1053,"verbally, documentation"
1054,frameworks
1055,Kubernetes
1056,Kafka
1057,programming tasks
1058,mastery
1059,reusable design patterns
1060,ReactJS
1061,design specifications
1062,coordination
1063,UX
1064,UI
1065,complete front-end stack
1066,HTML/CSS/SASS
1067,JavaScript
1068,front-end UI
1069,backend services
1070,responsive web pages
1071,HTML5
1072,CSS
1073, Bachelor's degree
1074,both custom web/mobile application development & commercial software systems implementations
1075,multiple technical disciplines
1076,QA
1077,devops
1078,a modern highly responsive web-based user interface
1079,React JS
1080,Redux
1081,HTML
1082,modular CSS
1083,JavaScript
1084, Familiarity
1085,REST APIs
1086,deep integrations
1087,Jest
1088,Mocha
1089,UX teams
1090,CI tools
1091,Jenkins
1092,documentation
1093,BDD/TDD
1094, Mentor junior engineers
1095, Familiarity
1096,the Flux Design Pattern
1097,Mocha
1098,Karma
1099,Jest
1100,BDD Experience
1101,RESTFUL API
1102,reliability
1103,game reliability issues
1104,front-line dev
1105,a Final Gatekeeper
1106,hotfixes
1107,service outages
1108,e.g. GCP
1109,AWS
1110,e.g. JavaScript
1111,Scripting
1112,e.g. Bash
1113,Python
1114,Ruby
1115,Grafana
1116,NewRelic
1117,InfluxDB
1118,Prometheus
1119,Stackdriver
1120,Sumo Logic
1121,CloudWatch
1122,MongoDB
1123,BS/MS
1124,Docker
1125,Kubernetes
1126,a RESTful API system
1127,e.g. Git
1128,Perforce
1129,node.js
1130,stakeholders
1131,highly complex user interfaces
1132,specialized software engineering experience
1133,Buck/Bazel
1134,"well-designed, testable, efficient, secure code"
1135,diverse scope
1136,identifiable factors
1137,precedent
1138,continuous integration
1139,deployment
1140, Mentor new and junior team members
1141,Golang
1142,an equivalent advanced object-oriented language
1143, Excellent communication and interpersonal skills
1144,"scalable, high availability services"
1145,Python
1146,Docker
1147,Kubernetes
1148,Kafka
1149, Building low latency
1150,scalable platform
1151,REST/GraphQL
1152,application-appropriate persistence systems
1153,robustness
1154,scalability
1155, Automation
1156,timely resolution
1157,Microservices
1158,Micronaut
1159,Quarkus
1160,low-latency systems
1161,Kafka
1162,FaaS
1163,bugfixes
1164,the Terraform community
1165,open source contributors
1166,plugins
1167,the Terraform ecosystem
1168,architectures
1169,the Terraform CLI
1170,core APIs
1171,a seamless experience
1172,Terraform’s open source and commercial offerings
1173,HashiCorp customers
1174,the larger Terraform community
1175,the full lifecycle
1176,Golang
1177,mentorship
1178,"large, complex codebases"
1179,a Terraform practitioner
1180,curiosity
1181,Ph.D.
1182,ML techniques
1183,frameworks
1184,", data discretization"
1185,normalization
1186,sampling
1187,linear regression
1188,SVMs
1189,deep neural networks
1190,Familiarity
1191,one or more deep learning software frameworks
1192,Tensorflow
1193,PyTorch
1194,Fortune 500 companies
1195,Bachelor's degree
1196,Networking
1197,an accredited university
1198,Networking
1199,HTTPS/SSL
1200,"VLANs, TCP/IP"
1201,DNS
1202,NAT devices
1203,DHCP servers
1204,Firewalls
1205,an ever evolving workplace
1206,Genuine excitement
1207,IoT
1208,CCNA
1209,CCDA
1210,CCNP
1211,MCSE
1212,CEH
1213,CISSP
1214,CSP
1215,API
1216,Python
1217,other coding languages
1218,previous startup experience
1219,information retrieval
1220,other quantitative discipline
1221,Good theoretical grounding
1222,different operating constraints
1223,ML techniques
1224,frameworks
1225,e.g. data discretization
1226,normalization
1227,sampling
1228,linear regression
1229,deep neural networks
1230,bandits
1231,reinforcement learning
1232,an intuition
1233,new problem domains
1234,Excellent stakeholder communication
1235,Familiarity
1236,one or more DL software frameworks
1237,Tensorflow
1238,PyTorch
1239,haves
1240,e.g. Hadoop
1241,learningPrediction / Inference
1242,customizations
1243,evolving business needs
1244,NetSuite
1245,system integrations
1246,Avalara
1247,payment processors
1248,bank electronic fund transfers
1249,CRM
1250,homegrown systems
1251,Billing
1252,stakeholders
1253,scalable solutions
1254,enhancement requests
1255,the smooth functioning
1256,stakeholders
1257,validation
1258,scalability
1259,existing sub-optimal features
1260,completeness
1261,documentation
1262,ERP
1263,Oracle
1264,NetSuite
1265,automation
1266,system optimizations
1267,fundamental system integration concepts
1268,production integrations
1269,payment processors
1270,SQL
1271,Javascript
1272,Unix scripts tool set
1273,SuiteScript
1274,SuiteFlows
1275,user provisioning
1276,multi-entity environments
1277,deadlines
1278,delays
1279,ambiguous requirements
1280,Exceptional communicator
1281,a SaaS
1282,usage/consumption-based business
1283,Bachelors or masters degree
1284,customer delight
1285,threading/concurrency
1286,networking
1287,automated testing
1288,Proficiency
1289,Golang
1290,Python
1291,standard methodologies
1292,Willingness
1293,other specialists
1294,high throughput systems
1295,large scale interactive communications platforms
1296,service scalability
1297,reliability
1298,Node.js ecosystem
1299,message queues
1300,RESTful APIs
1301,React web app development
1302,UIs
1303,CI/CD technology
1304,workflows
1305,Mentor
1306,standard methodology solutions
1307,TPM
1308,tasking
1309,pipeline automation/orchestration
1310,Proven programming skills
1311,all phases
1312,reliability
1313,GCP
1314,AWS
1315,Azure
1316,Golang
1317,Node.js
1318,Postgres
1319,GCP
1320,Kubernetes
1321,the latest iOS/Swift trends
1322,"expressive, readable, composable, and testable Swift code"
1323,iOS provisioning profiles
1324,certificates
1325,Demonstrable understanding
1326,the iOS application & view lifecycles
1327,functional & reactive programming
1328,Observance
1329,Good problem-solving skills
1330,Excellent verbal communication skills
1331,Willingness
1332,constructive criticism
1333,maturity
1334,newly-learned knowledge/patterns
1335,Fastlane
1336,CI/CD workflows
1337,live iOS/Cocoa applications
1338,SwiftUI
1339,Familiarity
1340,debugging
1341,the backend.. Experience
1342,Git
1343,GitHub
1344,Bitbucket
1345,TDD
1346,the latest Android / Kotlin trends
1347,"expressive, readable, composable, and testable Kotlin code"
1348,functional & reactive programming
1349,Observance
1350,Good problem-solving skills
1351,Good verbal communication skills
1352,Willingness
1353,constructive criticism
1354,maturity
1355,RxJava/RxKotlin
1356,Jetpack Compose
1357,Familiarity
1358,Fastlane
1359,CI/CD workflows
1360,Familiarity
1361,debugging
1362,the backend.. Experience
1363,Git
1364,GitHub
1365,Bitbucket
1366,TDD
1367,the latest Android / Kotlin trends
1368,"expressive, readable, composable, and testable Kotlin code"
1369,functional & reactive programming
1370,Observance
1371,Good problem-solving skills
1372,Good verbal communication skills
1373,Willingness
1374,constructive criticism
1375,maturity
1376,RxJava/RxKotlin
1377,Jetpack Compose
1378,Familiarity
1379,Fastlane
1380,CI/CD workflows
1381,Familiarity
1382,debugging
1383,the backend.. Experience
1384,Git
1385,GitHub
1386,Bitbucket
1387,TDD
1388,cross-functional alignment
1389,estimation
1390,an inclusive environment
1391,all backgrounds
1392,Analytics
1393,a service oriented architecture
1394,reliability
1395,reliability
1396,resiliency
1397,scalability
1398,SLI
1399,SLA
1400,SLO
1401, Augment instrumentation
1402,a cohesive dependency mapping
1403, Build command and control automations
1404,TTR
1405,Toil
1406,containerization
1407,"(e.g., Docker"
1408,Kubernetes
1409, Familiarity
1410,Elasticsearch
1411,Kibana/Grafana
1412,Logstash
1413,kafka
1414,automation systems
1415,saltstack
1416,(Quic
1417,network layer optimization
1418,HTTP2
1419,MQTT
1420, Recommends
1421,snoop
1422,other network sniffers
1423,most protocols
1424,(TCP/IP
1425,UDP
1426,our Compute platform
1427,Operability
1428,Resilience
1429,full region failover
1430,stakeholders
1431,the roadmap
1432,Affirm’s Compute platform infrastructure
1433,mentorship
1434,both organic growth and traffic spikes
1435,self-service tooling
1436,rapid provisioning
1437,AWS
1438, Familiarity
1439,Kubernetes
1440,their compute infrastructure
1441,a growth mindset
1442,our new Observability Infrastructure
1443, Migrate infrastructure
1444,Kubernetes
1445,our growing infrastructure AWS
1446,observability/monitoring systems
1447, Familiarity
1448,Elasticsearch
1449,Kibana
1450,Logstash
1451,automation systems
1452,"ansible, puppet"
1453,saltstack
1454,python
1455,new Affirm products
1456,ecosystem
1457,real time stream processing data pipelines
1458,Affirm's future growth
1459,strict SLAs
1460,frameworks
1461,Affirm
1462,billions
1463,the reliability
1464,scalable data processing systems
1465,MapReduce
1466,Spark
1467,-
1468,data science and analytics teams
1469,HashiCorp customers
1470,the larger Consul community
1471,the network topologies
1472,constraints
1473,those insights
1474,new functionality
1475,substantive changes
1476,an async process
1477,example UX
1478,peer feedback
1479,the full lifecycle
1480,Golang
1481,Familiarity
1482,service-oriented architectures
1483,internal tooling
1484,Empathy
1485,tradeoffs
1486,the broader service mesh ecosystem
1487,practitioners
1488,Curiosity
1489,consistency
1490,novel algorithms
1491,extremely large-scale global fleets
1492,HashiCorp customers
1493,the large Consul community
1494,the full lifecycle
1495,Golang
1496,mentorship
1497,less experienced teammates
1498,reusable white label systems
1499,seamless integration
1500,live ops
1501,optimizations
1502,the dev team
1503,programming deliverables
1504,JIRA
1505,TDDs
1506,other technical documentation
1507,Bachelor’s Degree
1508,#
1509,social or freemium game economies
1510,a fast-paced team environment
1511,changing deadlines
1512,debugging
1513,profiling
1514,optimizations
1515,other devs
1516,F2P games
1517,F2P success
1518,minimal iterations
1519,user friendly APIs
1520,gameplay logic
1521,well-documented code
1522,modularity
1523,extensibility
1524,Obj-C
1525,computer science fundamentals
1526,algorithms
1527,minimal guidance
1528,Exceptional problem solving
1529,debugging skills
1530,B.S.
1531,Shipped multiple applications
1532,mobile or console game development
1533,our frameworks
1534,user friendly APIs
1535,gameplay logic
1536,ugui/uitoolkit
1537,well-documented code
1538,modularity
1539,extensibility
1540,Obj-C
1541,computer science fundamentals
1542,algorithms
1543,minimal guidance
