,0
310,performance tuning
311,Experience managing networking devices
312,DevOps tools
313,container technologies
314,Common Linux distribution platform installation
315,performance tuning
316,Experience managing networking devices
317,DevOps tools
318,container technologies
319,Common Linux distribution platform installation
320,performance tuning
321,Experience managing networking devices
322,DevOps tools
323,container technologies
324,Common Linux distribution platform installation
325,performance tuning
326,Experience managing networking devices
327,DevOps tools
328,container technologies
329,Common Linux distribution platform installation
330,performance tuning
331,Experience managing networking devices
332,DevOps tools
333,container technologies
334,Common Linux distribution platform installation
335,performance tuning
336,Experience managing networking devices
337,DevOps tools
338,container technologies
339,Common Linux distribution platform installation
340,performance tuning
341,Experience managing networking devices
342,DevOps tools
343,container technologies
344,Common Linux distribution platform installation
345,performance tuning
346,Experience managing networking devices
347,DevOps tools
348,container technologies
349,Common Linux distribution platform installation
350,performance tuning
351,Experience managing networking devices
352,DevOps tools
353,container technologies
354,Common Linux distribution platform installation
355,performance tuning
356,Experience managing networking devices
357,DevOps tools
358,container technologies
359,Common Linux distribution platform installation
360,performance tuning
361,Experience managing networking devices
362,DevOps tools
363,container technologies
364,Common Linux distribution platform installation
365,performance tuning
366,Experience managing networking devices
367,DevOps tools
368,container technologies
369,Common Linux distribution platform installation
370,performance tuning
371,Experience managing networking devices
372,DevOps tools
373,container technologies
374,Common Linux distribution platform installation
375,performance tuning
376,Experience managing networking devices
377,DevOps tools
378,container technologies
379,Common Linux distribution platform installation
380,performance tuning
381,Experience managing networking devices
382,DevOps tools
383,container technologies
384,Common Linux distribution platform installation
385,performance tuning
386,Experience managing networking devices
387,DevOps tools
388,container technologies
389,Common Linux distribution platform installation
390,performance tuning
391,Experience managing networking devices
392,DevOps tools
393,container technologies
394,Common Linux distribution platform installation
395,performance tuning
396,Experience managing networking devices
397,DevOps tools
398,Master’s degree
399,Next.js
400,UI quality tools
401,Cloud Service Providers
402,AWS / Azure / GCP
403,REST API based products
404,programming and scripting skills
405,Android dev
406,(SQL/NO-SQL databases
407,iOS/hybrid apps
408,Kotlin Multiplatform Mobile
409,the Java stack
410,dynamic JavaScript-based web applications
411,API design principles
412,NoSQL databases
413,Microsoft Azure
414,an Agile remote work environment
415, Experience producing and/or consuming REST API' s.
416,GitHub Actions
417,Web Services Protocols
418, Experience building architectural and low-level integration components
419,performance optimizations
420,JavaScript-based web and mobile applications
421,Web Services Protocols
422, Experience building architectural and low-level integration components
423,performance optimizations
424,JavaScript-based web and mobile applications
425,Web Services Protocols
426, Experience building architectural and low-level integration components
427,performance optimizations
428,JavaScript-based web and mobile applications
429,Web Services Protocols
430, Experience building architectural and low-level integration components
431,performance optimizations
432,JavaScript-based web and mobile applications
433,Web Services Protocols
434, Experience building architectural and low-level integration components
435,performance optimizations
436,JavaScript-based web and mobile applications
437,Web Services Protocols
438, Experience building architectural and low-level integration components
439,performance optimizations
440,JavaScript-based web and mobile applications
441,the Product Roadmap
442, Technical fluency
443,Azure and cloud-native architecture
444,DevOps practices
445,the Product Roadmap
446, Technical fluency
447,Azure and cloud-native architecture
448,DevOps practices
449,the Product Roadmap
450, Technical fluency
451,Azure and cloud-native architecture
452,DevOps practices
453,TSQL and relational database systems
454,build and deployment systems
455,performance optimization
456,OpenID Connect protocols
457,TSQL and relational database systems
458,build and deployment systems
459,performance optimization
460,OpenID Connect protocols
461,TSQL and relational database systems
462,build and deployment systems
463,performance optimization
464,OpenID Connect protocols
465,TSQL and relational database systems
466,build and deployment systems
467,performance optimization
468,OpenID Connect protocols
469,TSQL and relational database systems
470,build and deployment systems
471,performance optimization
472,OpenID Connect protocols
473,the Product Roadmap
474, Technical fluency
475,Azure and cloud-native architecture
476,DevOps practices
477,TSQL and relational database systems
478,build and deployment systems
479,performance optimization
480,OpenID Connect protocols
481,SQL database
482,Android SDK
483,Agile projects
484,Azure DevOps Server
485,Azure/AWS cloud platforms
486,Android or Linux kernels
487,Android OS
488, Update HTML/JavaScript section
489,JavaScript frameworks
490,Kotlin / Kotlin multiplatform
491,C++ programing
492, Workforce management domain
493, Kotlin and Java programming expertise
494, Workforce management domain
495,the Product Roadmap
496, Technical fluency
497,Azure and cloud-native architecture
498,DevOps practices
499,the Product Roadmap
500, Technical fluency
501,Azure and cloud-native architecture
502,DevOps practices
503,TSQL and relational database systems
504,build and deployment systems
505,performance optimization
506,OpenID Connect protocols
507,the Product Roadmap
508, Technical fluency
509,Azure and cloud-native architecture
510,DevOps practices
511,the Product Roadmap
512, Technical fluency
513,Azure and cloud-native architecture
514,DevOps practices
515,TSQL and relational database systems
516,build and deployment systems
517,performance optimization
518,OpenID Connect protocols
519, Backend development
520,(Services/APIs/Background Jobs
521, Automated Testing Development
522,automated testing framework
523, No-SQL databases exposure
524, Agile - Scrum
525,SQL database
526,Android SDK
527,Agile projects
528,Azure DevOps Server
529,Azure/AWS cloud platforms
530,Android or Linux kernels
531,Android OS
532, Update HTML/JavaScript section
533,JavaScript frameworks
534,Kotlin / Kotlin multiplatform
535,C++ programing
536, Workforce management domain
537,SQL database
538,Android SDK
539,Agile projects
540,Azure DevOps Server
541,Azure/AWS cloud platforms
542,Android or Linux kernels
543,Android OS
544, Update HTML/JavaScript section
545,JavaScript frameworks
546,Kotlin / Kotlin multiplatform
547,C++ programing
548, Workforce management domain
549,the Product Roadmap
550, Technical fluency
551,Azure and cloud-native architecture
552,DevOps practices
553,the Product Roadmap
554, Technical fluency
555,Azure and cloud-native architecture
556,DevOps practices
557,TSQL and relational database systems
558,build and deployment systems
559,performance optimization
560,OpenID Connect protocols
561,TSQL and relational database systems
562,build and deployment systems
563,performance optimization
564,OpenID Connect protocols
565,TSQL and relational database systems
566,build and deployment systems
567,performance optimization
568,OpenID Connect protocols
569,SQL database
570,Android SDK
571,Agile projects
572,Azure DevOps Server
573,Azure/AWS cloud platforms
574,Android or Linux kernels
575,Android OS
576, Update HTML/JavaScript section
577,JavaScript frameworks
578,Kotlin / Kotlin multiplatform
579,C++ programing
580, Workforce management domain
581,SQL database
582,Android SDK
583,Agile projects
584,Azure DevOps Server
585,Azure/AWS cloud platforms
586,Android or Linux kernels
587,Android OS
588, Update HTML/JavaScript section
589,JavaScript frameworks
590,Kotlin / Kotlin multiplatform
591,C++ programing
592, Workforce management domain
593,SQL database
594,Android SDK
595,Agile projects
596,Azure DevOps Server
597,Azure/AWS cloud platforms
598,Android or Linux kernels
599,Android OS
600, Update HTML/JavaScript section
601,JavaScript frameworks
602,Kotlin / Kotlin multiplatform
603,C++ programing
604, Workforce management domain
605,SQL database
606,Android SDK
607,Agile projects
608,Azure DevOps Server
609,Azure/AWS cloud platforms
610,Android or Linux kernels
611,Android OS
612, Update HTML/JavaScript section
613,JavaScript frameworks
614,Kotlin / Kotlin multiplatform
615,C++ programing
616, Workforce management domain
617,UI design tradeoffs
618,analysis databases
619,Base SAS
620,SAS/STAT
621,SAS Macro Language
622,Web API
623,Web Api
624,Entity Framework/ORM
625,Object Oriented Design skills
626,analytic and troubleshooting skills
627,debugging and performance profiling
628,the Cloud Azure
629,Basis Technologies DSP systems
630,system and applications deployments
631,performance tuning
632,Linux Operating Systems
633,infrastructure management and automation systems
634,underlying cloud infrastructure
635,complex and varied Cloud Data
636,one cloud provider
637,reliable and maintainable code
638,Big Query
639,Google Cloud Platform data technologies
640,Google BigQuery
641,Google DataFlow
642,strong SQL skills
643,Microsoft Azure SQL Data Warehouse
644,a Data Orchestration solutions
645,underlying cloud infrastructure
646,complex and varied Cloud Data
647,one cloud provider
648,reliable and maintainable code
649,Big Query
650,Google Cloud Platform data technologies
651,Google BigQuery
652,Google DataFlow
653,strong SQL skills
654,Microsoft Azure SQL Data Warehouse
655,a Data Orchestration solutions
656,underlying cloud infrastructure
657,complex and varied Cloud Data
658,one cloud provider
659,reliable and maintainable code
660,Big Query
661,Google Cloud Platform data technologies
662,Google BigQuery
663,Google DataFlow
664,strong SQL skills
665,Microsoft Azure SQL Data Warehouse
666,a Data Orchestration solutions
667,underlying cloud infrastructure
668,complex and varied Cloud Data
669,one cloud provider
670,reliable and maintainable code
671,Big Query
672,Google Cloud Platform data technologies
673,Google BigQuery
674,Google DataFlow
675,strong SQL skills
676,Microsoft Azure SQL Data Warehouse
677,a Data Orchestration solutions
678,underlying cloud infrastructure
679,complex and varied Cloud Data
680,one cloud provider
681,reliable and maintainable code
682,Big Query
683,Google Cloud Platform data technologies
684,Google BigQuery
685,Google DataFlow
686,strong SQL skills
687,Microsoft Azure SQL Data Warehouse
688,a Data Orchestration solutions
689,underlying cloud infrastructure
690,complex and varied Cloud Data
691,one cloud provider
692,reliable and maintainable code
693,Big Query
694,Google Cloud Platform data technologies
695,Google BigQuery
696,Google DataFlow
697,strong SQL skills
698,Microsoft Azure SQL Data Warehouse
699,a Data Orchestration solutions
700,underlying cloud infrastructure
701,complex and varied Cloud Data
702,one cloud provider
703,reliable and maintainable code
704,Big Query
705,Google Cloud Platform data technologies
706,Google BigQuery
707,Google DataFlow
708,strong SQL skills
709,Microsoft Azure SQL Data Warehouse
710,a Data Orchestration solutions
711,underlying cloud infrastructure
712,complex and varied Cloud Data
713,one cloud provider
714,reliable and maintainable code
715,Big Query
716,Google Cloud Platform data technologies
717,Google BigQuery
718,Google DataFlow
719,strong SQL skills
720,Microsoft Azure SQL Data Warehouse
721,a Data Orchestration solutions
722,underlying cloud infrastructure
723,complex and varied Cloud Data
724,one cloud provider
725,reliable and maintainable code
726,Big Query
727,Google Cloud Platform data technologies
728,Google BigQuery
729,Google DataFlow
730,strong SQL skills
731,Microsoft Azure SQL Data Warehouse
732,a Data Orchestration solutions
733,underlying cloud infrastructure
734,complex and varied Cloud Data
735,one cloud provider
736,reliable and maintainable code
737,Big Query
738,Google Cloud Platform data technologies
739,Google BigQuery
740,Google DataFlow
741,strong SQL skills
742,Microsoft Azure SQL Data Warehouse
743,a Data Orchestration solutions
744,underlying cloud infrastructure
745,complex and varied Cloud Data
746,one cloud provider
747,reliable and maintainable code
748,Big Query
749,Google Cloud Platform data technologies
750,Google BigQuery
751,Google DataFlow
752,strong SQL skills
753,Microsoft Azure SQL Data Warehouse
754,a Data Orchestration solutions
755,board processing design specification
756,board processing payloads
757,definition and subsystem specifications
758,RF and digital equipment
759,Digital channel processor specifications
760,Direct Radiating Array (DRA) Antenna
761,Flexible payload
762,RF and system payload
763,new and emerging software tools
764,key performance metrics
765,Relevant DevOps engineering experience
766,Linux system administration
767,performance tuning
768,security hardening
769,Azure Cloud
770,Docker and container orchestrators
771,configuration management tools
772,SQL Databases
773,GUI tools
774,DevOps Engineers
775,secure infrastructure automation
776,DevOps automation/infrastructure/product delivery
777,cloud architects
778,testing scripts
779,infrastructure provisioning
780,Microsoft Azure
781,the Azure platform
782,Azure technologies
783,SQL/Cosmos/Mongo/PostGreSQL
784,User journeys
785,the Oracle Siebel technology workspace
786,Oracle Siebel
787,Oracle Policy Automation
788,A bachelor’s degree
789,a Siebel designer/developer
790,Siebel SOAP Structure
791,Siebel Workflows
792,Siebel Integration Object structures
793,EAI Business Services
794,Siebel Configuration
795,application performance tuning
796,the Siebel Data model
797,SQL / Store procedure creation
798,Siebel enterprise architecture
799,Siebel Open UI
800,Java Script
801,Siebel Public Sector applications
802,Technical expertise
803,"Experience designing and developing APIs, web and mobile properties"
804,Agile team
805,Automated testing
806,Agile development environment
807,Communications interfaces
808,Windows Active Directory
809,Azure Active Directory
810,Azure AD Connect
811,AD CS
812,AD FS
813,AD LDS
814, Microsoft Azure AD
815, Microsoft Web Application Proxy
816,production and non-production environments
817,Microsoft Active Directory
818,Azure AD Zero Trust components implementation
819,Azure AD proxy
820,device authentication
821,Microsoft’s advanced security and networking services
822,Key Vault
823,dynamic and immutable Azure Cloud infrastructure
824, Preferable security knowledge
825, Enterprise Mobility + Security (EMS
826,Conditional Access \ MDM \ MAM
827,Tenant \ Security & Compliance Center
828,M365 Security & Compliance  Strong PowerShell scripting skills
829,Microsoft 365 security and strategy discussions
830,production and non-production environments
831,fundamental cloud technologies
832,GCP certifications
833,Scope Key Candidate Skills
834, Encryption and Key Management
835,Azure Active Directory
836,Azure AD Connect
837, Management & Automation Tools
838, Configuration Management
839," Logging, Monitoring and SIEM tools"
840,product and design lifecycles
841,product and design lifecycles
842,product and design lifecycles
843,product and design lifecycles
844,security fixes
845,security scanners
846,security functionality
847,security fixes
848,security scanners
849,security functionality
850,security fixes
851,security scanners
852,security functionality
853,security fixes
854,security scanners
855,security functionality
856,product and design lifecycles
857,product and design lifecycles
858,A/B testing frameworks
859,product and design lifecycles
860,product and design lifecycles
861,foundational infrastructure components
862,container orchestration
863,A/B testing frameworks
864,foundational infrastructure components
865,container orchestration
866,foundational infrastructure components
867,container orchestration
868,foundational infrastructure components
869,container orchestration
870,A/B testing frameworks
871,A/B testing frameworks
872,A/B testing frameworks
873,A/B testing frameworks
874,SQL queries
875,SQL queries
876,SQL indices
877,Agile or Lean environment
878,SQL queries
879,technical and product expertise
880,Hadoop ecosystem
881,reliable and maintainable code
882,Hadoop Clusters Proven
883,Azure ADLS
884,Linux enviroment
885,SQL queries
886,Automation opportunities
887,SQL Hadoop Ecosystem - Hive
888,VM/container management
889,Self-starter
890,AWS products
891,cloud deployment
892,Quality Assurance reports
893,Testing Automation
894,Software Development methodologies
895,A bachelor’s degree
896,Kubernetes clusters
897,DevOps role
898,Kubernetes clusters
899,SAS programming activities
900,oversight and effective delegation
901,SAS Programming activities
902,analysis datasets
903,complex SAS procedures
904,analysis datasets
905,analysis datasets
906,Archive deliverable files
907,Lead Statistician
908,the Lead Statistician
909,Lead Biostatistician and Project Manager
910,SAS Programming expertise
911,departmental and company-wide initiatives
912,SAS Programming Subject Matter Expert
913,Support SAS Programming process improvement
914,SAS Programming Client Account Manager
915,the SAS Programming team
916,SAS Programming
917,Company SAS Programming services
918,the SAS Programming group
919,SAS Programmers
920,assigned SAS Programming resource
921,SAS programming experience
922,Master’s Degree
923,SAS programming experience
924,ADaM Implementation Guidelines
925,CDISC Implementation Guideline
926,quality Standard Data Tabulation Model
927,XML documents
928,analysis datasets
929,SAS code
930,SAS code
931,SAS code
932,SAS programs
933,QC SAS programs
934,Train and mentor new hires
935,junior SAS Programmers
936,statistical analysis outputs
937,SAS programming experience
938,OR Master’s Degree
939,SAS programming experience
940,ADaM Implementation Guidelines
941,technology and business stakeholders
942,Continuous Delivery/Continuous Integration workflow
943,Python/Go/Bash scripting experience
944,Strong Linux Systems Administration Experience
945,Managed Apache Airflow
946,Kubernetes cluster
947,Prometheus and PromQL experience
948,Code - Terraform
949,DevOps best practices
950,Scala Control^M
951,medium and significant Complex data Pipelines
952,Cloud Data platforms
953,Data Architectures
954,DevOps tools
955,Hadoop and Data Engineering space
956,Apache Hadoop distributions
957,NoSQL databases
958,Hadoop Framework
959,Continuous Integrations tools
960,Linux/Mac OS administration
961,package management and testing framework
962,WorkForce Software experience
963,SAP SuccessFactors
964,WorkForce Software modules
965,A Bachelor’s Degree
966,DevOps Engineers
967,Continuous Integration systems
968,AWS CodeBuild)Experience
969,performance bottlenecksAbility
970,Agile/Scrum
971,Lean and Agile ways
972,Interpersonal and collaboration skills
973,Java / Kotlin / Android apps
974,/ Master’s degree
975,Android framework internals / device bringups
976,Linux kernel
977,Design workflows
978,Maya and Maya scripting
979,Nuke and Houdini experience
980,Object-oriented Python
981,5 to 10 yrs industry experience
982,OSI Model
983,Agile development and testing processes
984,a plus.. Automation experience
985,solution implementations
986,Coaches and mentors team members
987,McAfee/Juniper
988,Solution Architects
989,written and verbal communication skills
990,Self-starter
991,Vulnerability Management / Assessment
992,Industry certifications
993,functional and non-functional testing
994,innovative and modern tools
995,AI-enabled metadata management tools
996,A bachelor
997,data management disciplines
998,optimization and data quality
999,Object-oriented/object function scripting
1000,analytics and data science output
1001,relational and nonrelational environments
1002,AWS Redshift
1003,AWS Aurora
1004,SQL Server
1005,Amazon Simple queuing Service
1006,Apache Nifi
1007,Apache Kafka Streams
1008,Amazon Kinesis
1009,Apache Kafka KSQL
1010,BI software tools
1011,AWS Elastic Container Service
1012,Akamai Web Application Security
1013,Web Application Firewall security solutions
1014,hands-on Web Application Firewall deployment
1015,runtime testing tools
1016,Azure DevOps
1017,Aqua Security platform
1018,new security solutions evaluation
1019,Web Proxy
1020,Web Content Filtering
1021,SQL Server
1022,Modern Azure PaaS development
1023,Azure Functions
1024,Azure DevOps experience
1025,Azure AD Identity
1026,Microsoft Certifications
1027, Assist DevOps engineer
1028,public cloud deployment platforms
1029,E2E Smart Devices
1030,API design
1031,A meticulous approach
1032,A meticulous approach
1033,A meticulous approach
1034,A meticulous approach
1035,A meticulous approach
1036,A meticulous approach
1037,A meticulous approach
1038,API tests
1039,Azure Devops pipelines
1040,azure cloud services
1041,Agile ceremonies
1042,SQL Server.. Postman
1043,analysis databases
1044,Base SAS
1045,SAS Graph
1046,SAS Macro Language
1047,analysis databases
1048,Base SAS
1049,SAS Graph
1050,SAS Macro Language
1051,analysis databases
1052,Base SAS
1053,SAS Graph
1054,SAS Macro Language
1055,SAP CPI
1056,API technical architecture principles
1057,API Management
1058,API Microservices concepts
1059,ERP systems
1060,Jira and Agile project development environments
1061,Integration Standardization practices
1062,a Lead Backend Engineer (LBE
1063,public cloud environments
1064,a Java developer
1065,SQL / NoSQL database knowledge
1066,Test frameworks
1067,container technologies
1068,AWS services
1069,"Accenture Google Business Group’s close-knit, vibrant community"
1070,emerging Google technologies
1071,certified Google Cloud practitioners
1072,Enterprise Data Warehouse technologies
1073,GCP Cloud data implementation projects experience
1074,Cloud Composer
1075,Big Query
1076,MS SQL Server
1077,Java Development w/Spring Boot
1078,Java Development w/Spring Boot
1079,Java Development w/Spring Boot
1080,Java Development w/Spring Boot
1081,solution architects
1082,mentoring and development opportunities
1083,Oracle EPBCS
1084,OneStream Implementation/ Support experience
1085,SQL Server
1086,intuitive and engaging user experiences
1087,robust and extensible solutions
1088,clean and maintainable code
1089,tactical to-dos
1090,technical and non-technical audiences
1091,timely and continuous delivery
1092,DevOps environment
1093,API first systems
1094,an Agile environment
1095,/B.Tech/MCA
1096,API development
1097,the Agile development processes
1098,Hands-on experience designing/developing/consuming APIs
1099,AWS experience
1100,Kubernetes clusters
1101,other cloud computing platforms
1102,E2E Mobile Calling
1103,API design
1104,Android or iOS experience
1105,Web development workflows
1106,JavaScript/Typescript
1107,Agile development methodologies
1108,an Agile environment
1109,CS/Engineering
1110,other JavaScript frameworks
1111,"Kotlin, Swift"
1112,hydro and dam design
1113,Lead SRE activities
1114,cloud computing
1115,AWS cloud
1116,DevOps culture
1117,a DevOps mindset
1118,DevOps tools
1119,Single Page Application Frameworks
1120,Hybris components
1121,cloud architecture Subject Matter Experts
1122,Hybris-based technology
1123,Hybris-based systems
1124,Bounteous’ Managed Services team
1125,a Hybris IT Service Management model
1126,Hybris services
1127,SAP Hybris experience
1128,API development
1129,Agile Scrum
1130,Excellent security mindset
1131,AWS Cloud environment
1132,BA/BS
1133,internal and external stakeholders
1134,Backend applications
1135,internal and external stakeholders
1136,Backend applications
1137,all Agile ceremonies
1138,communications and data protocols
1139,Web Sockets
1140,the Salesforce platform
1141,cross-cloud integration
1142,CRM experience
1143,the Salesforce ecosystem
1144,the Salesforce product suite
1145,effective testing methodologies
1146,solution designers
1147,technical and non-technical audiences
1148,technical and non-technical audiences
1149,Object-Oriented programming
1150,Agile methods
1151,infrastructure automation
1152, Evaluate process alternatives
1153,construction and vendor fabrication assistance
1154,Professional Engineer and PMP certifications
1155, Self-starter
1156, Theoretical and practical design knowledge
1157,Agile practices
1158,programming and continuous integration development methods
1159, Object Oriented Programming
1160, Java/C#/Python
1161, Big data/Hadoop/Spark
1162,API design
1163,integration and sandbox environments
1164,API specification
1165,Google Compute Engine
1166,Google BigQuery
1167,SQL Server and Postgres database design
1168,JavaScript frameworks
1169,UI/UX design
1170,Technical competence
1171,SQL database design
1172,Cloud computing experience
1173,SQL database design
1174,Cloud computing experience
1175,UI/UX designers
1176,SQL database design
1177,Cloud computing experience
1178,Google BigQuery
1179,SQL database design
1180,Cloud computing experience
1181,SQL database design
1182,Cloud computing experience
1183,The DevOps Engineer
1184,the Data and Analytics team
1185,Kubernetes infrastructure
1186,a DevOps Engineer
1187,Kubernetes clusters
1188,Google Kubernetes Engine
1189,Enterprise wide strategic initiatives
1190,our Cloud & DevOps roadmap
1191,the Data and Analytics team
1192,multiple Kubernetes clusters
1193,System troubleshooting
1194,platform and application domains
1195,all Kubernetes clusters
1196,DevOps standards
1197,Google Cloud Certified
1198,Professional Cloud Architect
1199,AWS Certified Cloud Practitioner
1200,MCSA Windows Server Certification
1201,Kubernetes\OpenShift
1202,container technologies
1203,Cloud Pub/Sub
1204,an Google Cloud Platform based cloud solution
1205,a DevOps Engineer/Solutions Architect
1206,Google GCP environment
1207,configuration management tools
1208,Apache Kafka
1209,Guide Junior Developers
1210,project and sustainment plans
1211,Microsoft SQL
1212,Agile framework
